source,target,weight
cooking-method,baking,1497792
style,sneakers,933524
fruit,dessert,539206
taylor-swift,music,2099601
update-me,fashion-trends,1024355
tendencias-otono-invierno-2023-2024,fashion,398453
royalty,familia-real-britanica,1023683
season,dish,743098
peliculas,culture,979266
series,netflix,482626
meal,breakfast,689751
gq-recommends,fashion,439345
side,easy,842682
meal,equipment,405828
politics,2024-election,1055517
simple-cooking,equipment,353155
spring,easy,352899
pasta,ingredient,1598611
side,recipes,1015407
diet,cheese,1252627
vegetable,occasion,272522
recipes menus,european,717831
film-tv,arts-and-lifestyle,455633
fragrances,beauty,829299
simmer,dinner,609632
recipes,baking,1157958
the-bests,europe,1194728
sustainability,fashion,356618
recipes,pasta,1838528
recipes menus,make-ahead,597258
fashion-shows,fashion,1011195
vegetable,healthyish,511477
healthyish,dish,390634
stories,kuniyasu-inagaki,861183
weeknight-meals,source,173559
unas,beauty,842147
type,dairy,299963
season,meal-time,762931
pasta,dinner,1646990
recipes,breakfast,466399
roast,ingredient,536921
guides,fashion,541451
houses,country,662290
style,shopping,2208105
dish,baking,1145100
type,beverages,634333
shopping,lipstick,3238067
fashion,dress,1000106
notizie-del-giorno,lifestyle,1156091
weeknight-meals,cooking-method,1039788
pasta,meal,1599440
italian,european,2104980
italian,cuisine,2104980
main,european,1770718
text-container-large,hero-layouts,2114410
vogue-shops,vogue-favourites,981504
nut-free,meat,1187108
uk,europe,1254531
sneakers,shopping,2011622
source,make-ahead,495354
meal,herbs-spices,514688
wheat-gluten-free,dairy-free,619785
wellness,lifestyle,873532
side,diet,869523
ingredient,expert advice,895047
europe,destinations,1047778
met gala,celebrity-style,5439269
celebrity-real-estate,celebrities,1396325
tree-nut-free,epicurious,443865
lunch,diet,803227
vegetable,european,1107361
easy,cheese,1061527
skin,shopping,1891998
occasion,cuisine,647846
nut,ingredient,474433
business,artificial-intelligence,2049083
vegetarian,lunch,521782
dinner,asian,515248
series-de-tv,estilo-de-vida,1806177
watchmaking,watches,546350
root-vegetable,dinner,337909
the-critics,books,901982
quick,gluten-free,1024435
tree-nut-free,quick,499505
relojes-y-accesorios,nike,771103
vogue-favourites,fashion,1108845
special-consideration,dairy,303864
meal,dairy,264863
shopping,promo-codes,2682851
simple-cooking,5-ingredients-or-fewer,1847372
wired-consiglia,gadgets,276259
openai,chatgpt,2163213
beauty news,beauty,807323
meal,bean,237782
trainers-topic,fashion,519135
homes,decoration,1139766
vegetable,poultry,635953
dessert,baking,745557
vogue-parties,living,280718
quick,cooking-method,1103528
recipes,american,967862
looks,fashion,549929
the-bests,north-america,846749
taylor-swift,fashion,1175233
simple-cooking,bon-appetit,109467
paris-fashion-week,fashion,650124
popculture,entertainment,1190803
type,herb,479181
vogue-parties,parties,273752
potato,ingredient,648771
dish,cheese,1314124
serie-tv,culture,606751
vegetable,potato,648771
type,expert advice,824836
wheat-gluten-free,main,251535
nut-free,cheese,1106317
seafood,main,483020
holidays,cooking-method,792021
summer,ingredient,432846
vegan,simple-cooking,810401
ingredient,cooking,2021017
celebrity-style,celebrity-homes,1027875
vegetable,simmer,371138
weeknight-meals,special-consideration,159235
sports,football,485109
entertainment,celebrity-gossip,1423227
trends,dress,974847
wheat-gluten-free,cuisine,638647
united-kingdom,europe,1175425
tomato,ingredient,521061
dinner,bon-appetit,119659
italian,ingredient,2031864
viso-corpo,beauty-benessere,649545
television,entertainment,1050893
vegetable,tomato,521061
source,european,573762
wellbeing,bettermen,507522
pasta-noodles,ingredient,1714673
season,dinner,755402
news-fashion,fashion,403722
type,bon-appetit,129202
simple-cooking,30-minutes-or-less,462831
meat,easy,655680
entertainment,celebrity-news,139652
vegetable,chicken,634698
healthyish,easy,508586
shopping,clever,930733
recipes,chicken,875852
pasta,main,1587174
other-ingredients,meal,897606
simple-cooking,simmer,775366
special-consideration,herb,438807
culture,celebrities,1569789
hero-options,background-color-000000,1678180
vegetable,season,613350
vegetable,epicurious,317942
simple-cooking,basically,1218593
magazine,banner-new-yorker-favorites,1547197
fruit,cuisine,895063
skincare,shopping,1590531
recipes,recipe-collection,168164
simple-cooking,american,635818
simple-cooking,seafood,550389
type,european,551378
lunch,dish,818370
